Source	Target
13	3
13	984
13	634
13	207
146	3
146	225
146	719
146	641
146	283
146	749
146	480
146	320
48	55
1	747
1	501
1	808
709	874
709	804
709	966
2	48
2	393
2	392
2	473
2	558
393	494
393	923
393	843
158	3
158	723
158	344
158	986
158	617
158	360
158	353
747	840
747	986
747	892
747	877
865	984
4	513
4	651
4	752
4	963
4	792
513	544
513	565
752	853
752	995
501	560
0	709
165	2
165	65
165	864
165	677
165	261
392	784
392	761
392	800
473	762
808	867
808	870
558	620
558	949
558	736
558	758
558	929
3	865
3	919
225	9
225	31
225	938
225	405
235	5
235	452
235	344
235	789
235	573
272	6
272	395
851	975
260	860
260	6
260	637
260	79
260	432
260	941
260	338
648	7
648	660
16	9
16	879
16	322
16	880
16	623
7	987
7	713
291	671
291	770
291	385
291	565
291	732
12	72
12	89
12	144
12	309
12	453
12	687
12	943
12	866
944	989
72	866
72	934
72	741
837	999
837	897
837	848
144	197
144	770
144	647
144	206
309	43
309	681
341	8
341	872
341	649
341	666
341	876
782	8
9	963
778	9
778	928
778	952
792	891
723	752
5	851
5	723
357	6
357	938
357	496
357	749
357	571
357	510
182	9
182	811
182	274
182	869
626	7
626	829
626	993
626	922
10	956
10	944
10	227
415	72
415	6
415	751
415	930
713	997
713	78
713	811
768	8
227	568
227	239
227	313
227	795
227	954
168	7
168	312
168	891
168	736
168	591
32	8
32	713
32	827
11	860
11	291
11	837
11	275
275	458
453	527
453	656
660	90
660	857
512	597
512	776
19	791
19	73
687	690
14	999
14	343
14	35
14	997
485	865
485	947
879	969
322	687
322	388
322	809
322	604
322	421
343	43
343	475
343	757
343	567
18	564
18	334
18	452
18	535
634	843
785	915
785	862
140	18
140	64
140	784
140	990
140	897
564	787
20	512
20	785
20	66
20	349
20	356
20	518
334	660
334	979
334	79
334	75
334	403
136	32
136	19
136	590
136	37
136	828
136	99
35	726
35	632
35	927
73	838
66	837
66	885
207	553
207	619
207	934
207	287
15	747
15	235
15	322
15	167
15	356
167	556
167	172
167	766
349	71
349	635
349	981
349	496
349	897
349	621
349	795
623	658
623	950
623	68
623	664
623	797
623	811
866	885
529	880
529	77
529	542
529	85
529	849
529	857
17	415
17	660
17	485
17	83
17	785
17	529
17	620
17	606
620	627
452	633
356	984
356	41
356	85
356	615
606	62
606	848
535	636
190	415
190	26
190	658
190	432
527	77
527	532
527	773
26	944
26	527
26	671
26	622
671	704
27	987
27	333
27	77
27	459
27	454
27	938
27	890
241	737
241	379
241	270
241	376
241	442
21	356
21	241
21	928
21	380
21	867
21	715
21	961
21	794
21	69
21	891
21	733
380	441
380	991
380	644
380	970
23	781
23	965
622	816
462	785
451	717
451	786
451	945
344	824
344	920
344	424
344	419
333	603
333	971
333	954
333	395
137	23
137	846
137	907
137	252
57	880
57	863
57	874
312	781
312	399
312	849
312	351
312	368
312	850
312	329
556	944
556	746
625	827
625	853
625	744
625	680
625	988
24	462
715	808
715	912
22	936
22	57
22	312
22	556
22	625
22	734
22	228
22	609
22	788
25	451
25	344
25	682
25	898
734	800
734	926
69	962
518	862
518	910
228	501
228	384
228	244
228	843
228	676
228	435
609	637
609	902
733	986
733	886
788	830
788	917
898	91
193	34
193	753
193	477
193	503
204	356
204	34
371	56
371	697
371	811
371	996
