Source	Target
808	867
808	870
165	2
165	65
165	864
165	677
165	261
7	713
7	987
723	752
626	7
626	829
626	993
626	922
4	752
4	513
4	963
4	651
4	792
1	808
1	747
1	501
146	3
146	225
146	719
146	641
146	283
146	320
146	749
146	480
3	919
3	865
747	840
747	986
747	892
747	877
2	392
2	393
2	48
2	473
2	558
392	784
392	761
392	800
393	843
393	494
393	923
0	709
48	55
709	874
709	804
709	966
865	984
473	762
752	853
752	995
513	544
513	565
260	6
260	860
260	79
260	637
260	432
260	941
260	338
235	5
235	452
235	344
235	789
235	573
851	975
357	6
357	938
357	496
357	571
357	749
357	510
168	7
168	891
168	312
168	591
168	736
272	6
272	395
501	560
558	620
558	949
558	736
558	758
558	929
13	3
13	634
13	207
13	984
5	723
5	851
648	7
648	660
713	997
713	78
713	811
158	723
158	3
158	344
158	986
158	617
158	360
158	353
792	891
415	6
415	72
415	930
415	751
167	556
167	172
167	766
322	687
322	388
322	809
322	421
322	604
356	984
356	41
356	85
356	615
227	568
227	239
227	954
227	795
227	313
225	9
225	938
225	31
225	405
944	989
11	291
11	275
11	837
11	860
12	943
12	89
12	687
12	309
12	453
12	72
12	866
12	144
778	9
778	928
778	952
32	713
32	8
32	827
687	690
634	843
14	35
14	343
14	997
14	999
768	8
35	927
35	726
35	632
309	43
309	681
453	527
453	656
291	671
291	770
291	565
291	385
291	732
182	9
182	811
182	274
182	869
72	866
72	934
72	741
782	8
275	458
207	553
207	619
207	934
207	287
341	8
341	872
341	666
341	649
341	876
9	963
866	885
837	999
837	897
837	848
343	43
343	475
343	757
343	567
16	322
16	9
16	623
16	880
16	879
10	227
10	944
10	956
144	197
144	770
144	206
144	647
15	747
15	235
15	167
15	322
15	356
349	71
349	635
349	981
349	496
349	897
349	795
349	621
564	787
733	986
733	886
785	915
785	862
452	633
535	636
623	658
623	950
623	68
623	664
623	797
623	811
21	356
21	733
21	891
21	961
21	69
21	928
21	380
21	715
21	867
21	241
21	794
66	837
66	885
18	564
18	452
18	535
18	334
512	776
512	597
140	18
140	64
140	784
140	897
140	990
69	962
73	838
136	32
136	19
136	37
136	590
136	828
136	99
660	90
660	857
380	441
380	644
380	991
380	970
715	808
715	912
57	880
57	863
57	874
485	865
485	947
879	969
19	791
19	73
22	57
22	228
22	312
22	936
22	556
22	625
22	788
22	609
22	734
20	356
20	349
20	785
20	66
20	512
20	518
529	880
529	77
529	542
529	85
529	849
529	857
620	627
334	660
334	979
334	79
334	75
334	403
518	910
518	862
241	737
241	379
241	376
241	270
241	442
228	501
228	384
228	244
228	676
228	435
228	843
312	781
312	399
312	849
312	329
312	850
312	368
312	351
17	415
17	83
17	785
17	660
17	485
17	529
17	620
17	606
606	62
606	848
333	603
333	971
333	954
333	395
459	531
26	944
26	671
26	527
26	622
671	704
454	637
28	466
28	694
202	723
202	415
202	28
202	590
202	637
202	99
202	856
202	571
202	688
202	887
466	542
466	697
466	621
466	514
29	535
29	312
30	723
30	94
30	530
30	98
94	985
527	77
527	532
527	773
192	30
192	295
192	384
192	97
192	208
192	259
192	669
192	923
530	94
530	632
530	718
530	708
530	616
530	935
530	834
31	961
31	603
31	840
31	925
31	553
462	785
898	91
694	997
694	722
556	944
556	746
625	827
625	853
625	744
625	680
625	988
788	830
788	917
199	35
199	31
199	855
190	415
190	26
190	658
190	432
137	23
137	846
137	907
137	252
344	824
344	920
344	424
344	419
609	637
609	902
734	800
734	926
622	816
25	898
25	344
25	682
25	451
24	462
23	781
23	965
451	717
451	786
451	945
27	987
27	333
27	77
27	459
27	454
27	890
27	938
34	375
34	371
34	738
34	658
180	39
180	335
180	825
38	433
38	737
38	824
38	839
636	980
762	938
603	717
603	763
603	695
541	778
541	785
541	552
541	870
541	830
541	616
629	718
629	775
629	989
840	867
327	33
327	761
327	522
327	814
327	695
327	340
327	935
327	474
327	750
327	924
355	546
355	383
355	809
33	762
33	541
33	629
33	355
33	731
33	979
193	34
193	753
193	503
193	477
204	356
204	34
375	65
375	672
375	937
731	949
731	855
162	180
162	36
162	900
162	780
162	935
37	636
37	722
37	846
119	37
119	980
119	826
119	714
119	164
119	516
119	389
250	943
250	37
250	298
254	37
254	578
254	770
553	894
553	70
553	877
722	851
722	840
142	144
142	34
142	355
142	619
142	53
142	690
142	218
142	826
142	814
142	695
142	176
371	56
371	697
371	811
371	996
371	505
371	904
632	763
433	903
433	882
737	961
737	828
824	910
738	962
39	984
39	556
39	894
658	894
658	813
839	984
129	39
129	757
129	135
129	588
441	47
441	976
441	661
548	671
548	799
315	349
315	44
315	725
315	780
523	687
523	998
45	860
45	618
45	523
45	711
490	568
173	999
173	41
173	287
173	996
552	735
179	963
179	45
179	582
179	930
179	467
179	345
550	634
550	556
550	916
590	725
590	673
590	825
590	953
41	927
41	818
41	913
41	685
41	717
685	704
685	881
717	792
717	826
40	455
131	43
131	810
702	758
42	590
42	702
42	967
42	425
42	542
42	520
967	976
247	355
247	45
247	659
348	45
348	377
348	91
348	970
46	548
46	610
619	965
619	650
619	995
321	625
321	42
321	358
321	582
321	669
425	535
425	879
425	640
425	903
425	801
425	630
212	824
212	348
212	43
212	508
212	708
455	542
455	76
455	672
455	679
43	552
43	986
47	564
47	490
47	550
47	831
44	619
279	44
279	460
279	646
542	619
610	664
610	683
610	945
362	41
362	831
362	578
362	593
520	932
520	729
599	898
599	914
599	99
599	895
599	921
50	599
50	905
50	728
874	912
874	888
874	896
58	807
58	678
434	501
434	52
434	533
831	842
186	275
186	890
186	839
186	58
186	412
186	379
186	935
186	759
186	691
51	808
52	785
52	936
52	912
49	713
871	912
335	660
335	451
335	49
335	448
335	397
335	732
335	612
55	737
55	753
55	819
257	452
257	50
257	347
257	359
257	484
483	837
483	636
483	840
483	50
483	700
382	794
382	53
382	907
382	784
382	870
382	641
382	409
382	482
949	964
148	54
148	206
148	385
652	768
652	945
652	959
187	636
187	913
187	51
187	624
187	381
912	948
56	871
56	802
54	652
54	765
54	693
728	792
497	944
497	66
497	867
497	711
497	56
497	740
497	958
763	891
763	960
323	880
323	49
323	568
323	508
53	715
53	719
53	949
53	763
765	824
765	787
765	813
295	56
295	67
295	91
295	428
295	948
377	57
377	591
388	57
388	788
693	938
693	872
230	625
230	49
230	237
230	656
230	842
230	935
171	527
171	50
171	251
171	216
171	467
171	790
546	747
546	963
546	548
546	61
546	931
405	63
405	96
70	963
70	956
70	823
237	72
237	671
237	462
237	70
237	576
237	955
237	253
237	607
237	679
237	296
358	70
358	537
358	519
358	918
308	808
308	384
308	64
308	524
308	85
807	965
650	69
427	485
427	61
427	922
427	758
427	450
174	83
174	590
174	719
174	59
174	386
174	699
561	83
561	867
561	702
561	61
561	637
234	60
234	75
234	813
229	558
229	879
229	59
229	624
60	963
60	66
60	739
701	763
701	947
701	883
