Source	Target
618	45
618	614
618	394
618	400
55	737
55	48
55	753
55	819
39	894
39	180
39	129
39	984
39	556
199	31
199	35
199	172
199	855
38	737
38	839
38	824
38	433
315	780
315	349
315	181
315	44
315	725
30	94
30	98
30	723
30	530
30	192
827	625
827	32
827	673
827	389
827	761
362	41
362	593
362	831
362	578
738	34
738	692
738	962
738	367
738	457
737	55
737	38
737	241
737	961
737	828
737	560
737	557
737	421
94	30
94	243
94	233
94	593
94	112
94	530
94	787
94	985
94	317
94	538
94	271
636	37
636	535
636	483
636	187
636	980
711	45
711	497
839	38
839	984
839	186
839	720
839	417
762	473
762	226
762	938
762	33
762	145
762	756
762	370
762	429
179	45
179	930
179	582
179	963
179	467
179	345
490	47
490	568
490	284
34	738
34	193
34	658
34	371
34	142
34	204
34	375
610	479
610	46
610	664
610	61
610	480
610	683
610	945
36	162
894	39
894	553
894	658
894	112
894	460
894	674
927	41
927	35
979	334
979	892
979	33
979	68
979	103
979	475
979	290
979	595
979	510
979	354
979	970
553	894
553	31
553	207
553	404
553	70
553	877
925	31
925	271
925	198
925	169
925	906
180	39
180	162
180	108
180	335
180	151
180	825
717	603
717	41
717	792
717	451
717	108
717	826
717	703
193	34
193	753
193	477
193	503
162	36
162	180
162	900
162	780
162	935
162	133
731	33
731	949
731	256
731	855
731	679
603	717
603	31
603	333
603	374
603	763
603	492
603	695
905	50
905	183
47	490
47	564
47	441
47	550
47	831
728	792
728	50
728	116
728	304
728	563
658	34
658	894
658	623
658	190
658	166
658	813
355	142
355	33
355	383
355	546
355	197
355	247
355	809
41	362
41	927
41	717
41	173
41	818
41	356
41	685
41	913
40	455
542	455
542	529
542	466
542	42
542	619
542	183
371	34
371	811
371	697
371	56
371	505
371	996
371	314
371	904
6	260
6	357
6	272
6	415
629	33
629	718
629	307
629	775
629	989
348	45
348	91
348	212
348	377
348	163
348	106
348	970
455	40
455	542
455	672
455	76
455	301
455	679
119	37
119	389
119	164
119	980
119	714
119	516
119	826
632	35
632	125
632	530
632	763
327	814
327	935
327	33
327	761
327	695
327	522
327	340
327	474
327	924
327	750
142	34
142	355
142	814
142	144
142	53
142	619
142	690
142	218
142	826
142	176
142	695
31	199
31	553
31	925
31	603
31	225
31	961
31	840
722	37
722	851
722	694
722	840
722	361
722	688
722	418
548	491
548	671
548	443
548	46
548	546
548	799
173	41
173	999
173	145
173	287
173	996
912	715
912	258
912	404
912	871
912	52
912	874
912	516
912	581
912	948
250	37
250	943
250	298
323	880
323	49
323	508
323	568
37	636
37	119
37	722
37	250
37	254
37	136
37	846
98	30
98	589
98	492
204	34
204	356
818	41
818	735
818	474
818	429
818	799
818	815
45	618
45	711
45	179
45	348
45	860
45	523
45	247
51	808
51	187
225	31
225	146
225	938
225	9
225	405
599	898
599	914
599	50
599	99
599	895
599	594
599	921
254	37
254	109
254	578
254	770
254	203
687	322
687	12
687	523
687	690
687	364
687	337
919	3
919	780
919	730
919	403
919	474
919	400
919	771
919	767
322	687
322	16
322	15
322	388
322	809
322	421
322	604
129	39
129	109
129	757
129	135
129	588
146	225
146	3
146	749
146	320
146	283
146	719
146	145
146	480
146	641
792	717
792	728
792	891
792	4
865	3
865	485
865	984
865	672
865	841
865	463
865	278
48	55
48	2
879	16
879	710
879	425
879	214
879	229
879	475
879	170
879	616
879	446
879	969
879	661
709	0
709	874
709	966
709	804
12	687
12	89
12	866
12	72
12	144
12	309
12	943
12	453
564	47
564	18
564	787
260	6
260	860
260	152
260	637
260	79
260	432
260	941
260	338
3	919
3	146
3	865
3	13
3	158
35	199
35	927
35	632
35	14
35	726
558	620
558	128
558	411
558	949
558	229
558	2
558	736
558	758
558	929
860	45
860	260
860	11
860	724
18	564
18	535
18	334
18	452
18	140
651	411
651	4
651	381
651	224
0	709
182	9
182	811
182	274
182	869
393	494
393	2
393	923
393	843
535	636
535	18
535	29
535	425
535	224
851	722
851	5
851	975
851	62
851	638
999	173
999	14
999	837
999	591
529	542
529	880
529	17
529	77
529	85
529	849
529	857
291	11
291	671
291	770
291	290
291	385
291	565
291	732
880	323
880	529
880	16
880	57
880	316
880	816
880	799
880	873
11	860
11	291
11	275
11	837
13	3
13	207
13	984
13	634
17	529
17	660
17	83
17	620
17	606
17	785
17	485
17	415
89	12
89	232
89	700
89	231
89	383
89	218
723	30
723	752
723	5
723	158
723	202
723	296
723	526
752	723
752	710
752	853
752	4
752	995
752	449
752	638
752	596
473	762
473	123
473	2
473	305
473	301
473	458
5	851
5	723
5	235
987	7
987	27
987	289
987	306
987	663
626	7
626	132
626	829
626	993
626	922
136	37
136	32
136	19
136	828
136	590
136	99
867	808
867	21
867	840
867	497
867	561
625	827
625	853
625	22
625	321
625	744
625	230
625	361
625	680
625	515
625	365
625	988
997	932
997	14
997	694
997	713
997	62
997	67
997	106
997	154
356	41
356	204
356	15
356	984
356	21
356	20
356	85
356	615
334	979
334	18
334	660
334	75
334	79
334	403
501	1
501	228
501	434
501	560
158	3
158	723
158	344
158	986
158	360
158	617
158	353
956	10
956	70
956	115
956	301
660	17
660	334
660	648
660	335
660	90
660	118
660	857
660	461
660	638
660	440
768	8
768	374
768	652
768	617
768	102
768	216
357	6
357	749
357	938
357	496
357	198
357	571
357	261
357	208
357	223
357	510
1	501
1	808
1	747
513	350
513	544
513	4
513	565
513	337
272	6
272	395
165	864
165	677
165	65
165	2
165	261
235	5
235	452
235	573
235	15
235	344
235	789
343	14
343	324
343	43
343	475
343	757
343	567
392	784
392	197
392	800
392	761
392	2
83	17
83	509
83	63
83	174
83	561
207	553
207	13
207	619
207	934
207	287
620	558
620	17
620	413
620	604
620	627
944	10
944	556
944	26
944	497
944	385
944	336
944	280
944	989
341	8
341	872
341	649
341	666
341	876
606	17
606	109
606	62
606	264
606	848
452	18
452	235
452	101
452	257
452	292
452	432
452	633
866	12
866	72
866	835
866	697
866	885
866	177
866	277
866	474
10	956
10	944
10	227
808	51
808	867
808	1
808	715
808	870
808	308
808	440
808	764
808	627
72	12
72	866
72	415
72	741
72	416
72	215
72	361
72	478
72	545
72	237
72	934
72	670
275	11
275	186
275	223
275	458
137	23
137	846
137	907
137	252
622	26
622	114
622	477
622	816
778	928
778	9
778	541
778	232
778	492
778	952
778	385
778	712
778	365
778	773
928	778
928	21
928	74
928	183
928	138
928	270
928	646
785	17
785	243
785	915
785	462
785	541
785	20
785	52
785	469
785	862
785	438
16	322
16	879
16	880
16	623
16	9
302	324
302	256
302	725
302	253
302	164
302	156
302	531
302	567
302	328
975	851
975	156
772	361
772	106
772	516
772	93
243	94
243	785
243	99
243	305
243	301
243	268
448	159
448	335
448	311
233	94
233	806
233	176
233	188
233	310
990	140
990	214
990	664
990	297
990	461
990	471
593	362
593	94
593	141
593	710
593	220
593	317
593	487
593	370
141	593
141	960
141	249
141	680
194	164
786	451
786	635
786	103
786	580
153	974
153	491
153	952
153	680
153	467
153	809
424	344
424	939
424	97
424	641
424	198
424	354
749	146
749	357
226	762
226	152
226	293
226	231
226	372
226	777
226	569
251	101
251	171
251	92
347	143
347	257
347	764
206	144
206	961
206	454
206	312
206	807
206	148
206	470
206	463
640	101
640	533
640	425
640	147
640	806
640	539
640	970
915	785
915	881
915	102
915	691
915	644
915	796
881	915
881	160
881	685
710	879
710	752
710	593
710	500
710	521
710	478
710	292
710	163
710	760
897	837
897	349
897	140
112	94
112	894
112	692
112	885
479	610
479	298
479	863
479	819
479	360
479	267
479	145
479	910
479	336
991	152
991	380
991	353
991	675
981	491
981	349
981	95
981	505
981	833
528	133
494	393
494	718
494	147
494	223
125	632
125	892
125	885
125	138
125	641
125	562
573	235
573	317
573	127
573	198
122	170
960	141
960	984
960	763
960	197
960	980
960	588
960	571
960	442
960	601
960	921
960	674
974	153
974	417
320	146
320	846
320	992
320	434
320	831
320	689
320	447
128	558
128	157
128	664
128	522
152	260
152	226
152	991
152	947
152	955
152	359
152	465
491	548
491	153
491	981
491	523
491	360
491	993
491	444
149	150
149	178
149	431
481	814
481	154
853	752
853	625
853	101
853	105
853	372
853	562
853	883
139	536
139	777
139	721
534	160
534	545
534	661
143	347
143	890
143	476
283	146
283	909
283	594
647	144
647	950
696	95
696	877
900	162
900	270
900	299
900	318
900	804
157	128
157	383
157	449
101	452
101	251
101	640
101	853
101	932
101	159
101	411
101	500
101	726
101	475
101	154
780	315
780	162
780	919
780	549
780	859
780	783
780	929
100	891
100	907
100	942
932	997
932	101
932	520
932	536
932	151
932	135
932	686
814	327
814	142
814	481
814	531
814	305
814	429
814	400
159	448
159	101
159	589
159	533
411	558
411	651
411	101
411	451
411	677
411	744
411	797
411	770
411	396
411	714
411	201
411	983
935	162
935	327
935	530
935	230
935	186
935	678
96	104
96	405
500	710
500	101
500	673
500	909
500	106
500	873
930	179
930	415
930	508
930	642
930	138
589	98
589	159
589	576
589	367
286	210
286	831
286	104
947	152
947	485
947	701
947	492
947	456
947	314
533	640
533	159
533	434
533	385
936	22
936	52
936	351
938	762
938	225
938	357
938	27
938	693
938	657
938	161
938	595
715	912
715	808
715	21
715	605
715	53
715	102
715	339
715	667
15	322
15	356
15	235
15	167
15	747
512	20
512	467
512	311
512	776
512	597
8	768
8	341
8	32
8	782
466	542
466	28
466	697
466	133
466	397
466	514
466	621
609	22
